,precision,recall,f1-score,support
0,0.8429991714995857,0.9674352270026146,0.9009407858328722,4207.0
1,0.7334630350194552,0.33215859030837,0.4572468162522741,1135.0
accuracy,0.832459752901535,0.832459752901535,0.832459752901535,0.832459752901535
macro avg,0.7882311032595204,0.6497969086554923,0.6790938010425731,5342.0
weighted avg,0.8197263308210107,0.832459752901535,0.8066703523858526,5342.0
